사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2019010100100267,2019년 1월 1일 18시,화요일,대전광역시 서구 둔산동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,29세,상해없음,승용,남,27세,경상
2019010100100268,2019년 1월 1일 18시,화요일,대전광역시 서구 탄방동,경상사고,0,0,3,0,차대차 - 측면충돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,화물,남,59세,경상,승용,남,29세,경상
2019010100100298,2019년 1월 1일 19시,화요일,대전광역시 서구 둔산동,사망사고,1,0,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,38세,상해없음,보행자,남,86세,사망
2019010100100318,2019년 1월 1일 20시,화요일,대전광역시 서구 탄방동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,48세,상해없음,보행자,남,59세,중상
2019010200100024,2019년 1월 2일 00시,수요일,대전광역시 서구 둔산동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,23세,상해없음,승용,여,28세,경상
2019010200100162,2019년 1월 2일 10시,수요일,대전광역시 서구 월평동,경상사고,0,0,4,0,차대차 - 정면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,72세,상해없음,승용,남,44세,경상
2019010200100163,2019년 1월 2일 10시,수요일,대전광역시 서구 탄방동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,30세,상해없음,승용,남,77세,경상
2019010200100179,2019년 1월 2일 11시,수요일,대전광역시 서구 내동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,39세,상해없음,승용,여,35세,경상
2019010200100202,2019년 1월 2일 12시,수요일,대전광역시 서구 탄방동,경상사고,0,0,4,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,73세,상해없음,승용,여,42세,경상
2019010200100418,2019년 1월 2일 18시,수요일,대전광역시 서구 갈마동,중상사고,0,1,0,0,차대사람 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,67세,상해없음,보행자,남,51세,중상
2019010300100083,2019년 1월 3일 06시,목요일,대전광역시 서구 복수동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,화물,남,46세,상해없음,승용,남,24세,경상
2019010300100093,2019년 1월 3일 07시,목요일,대전광역시 서구 만년동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,54세,상해없음,승용,남,28세,경상
2019010300100119,2019년 1월 3일 08시,목요일,대전광역시 서구 둔산동,경상사고,0,0,2,0,차대차 - 추돌,교차로운행방법위반,포장 - 건조,맑음,단일로 - 고가도로위,승용,남,64세,상해없음,승용,남,40세,경상
2019010300100149,2019년 1월 3일 09시,목요일,대전광역시 서구 갈마동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,여,39세,상해없음,보행자,여,20세,경상
2019010300100167,2019년 1월 3일 10시,목요일,대전광역시 서구 둔산동,경상사고,0,0,1,0,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,59세,상해없음,화물,남,48세,경상
2019010300100221,2019년 1월 3일 12시,목요일,대전광역시 서구 내동,중상사고,0,1,0,0,차량단독 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,62세,상해없음,,,,
2019010300100363,2019년 1월 3일 17시,목요일,대전광역시 서구 둔산동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,62세,상해없음,승용,남,29세,경상
2019010300100471,2019년 1월 3일 20시,목요일,대전광역시 서구 갈마동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,포장 - 건조,맑음,교차로 - 교차로안,화물,남,62세,상해없음,승합,남,50세,상해없음
2019010400100090,2019년 1월 4일 07시,금요일,대전광역시 서구 내동,경상사고,0,0,2,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,20세,상해없음,승용,여,60세,경상
2019010400100149,2019년 1월 4일 09시,금요일,대전광역시 서구 관저동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,57세,상해없음,승용,여,35세,경상
2019010400100150,2019년 1월 4일 09시,금요일,대전광역시 서구 둔산동,중상사고,0,1,0,0,차대사람 - 보도통행중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,52세,상해없음,보행자,여,54세,중상
2019010400100215,2019년 1월 4일 12시,금요일,대전광역시 서구 둔산동,중상사고,0,1,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,44세,상해없음,승합,남,50세,중상
