순번,기준년,기준월,행정동코드,행정동명,성별코드,성별,요일코드,요일,시간대코드,시간대,유동인구수,시간당 평균 유동인구수,데이터생성일자
1,2021,1,3017051000,복수동,f,여성,0,일요일,1,출근,15927.18,7963.59,20230104
2,2021,1,3017051000,복수동,m,남성,0,일요일,1,출근,18442.5,9221.25,20230104
3,2021,1,3017051000,복수동,f,여성,0,일요일,2,주간,122950.04,13661.12,20230104
4,2021,1,3017051000,복수동,m,남성,0,일요일,2,주간,128670.71,14296.75,20230104
5,2021,1,3017051000,복수동,f,여성,0,일요일,3,퇴근,34914.33,17457.17,20230104
6,2021,1,3017051000,복수동,m,남성,0,일요일,3,퇴근,35047.64,17523.82,20230104
7,2021,1,3017051000,복수동,f,여성,0,일요일,4,저녁,70240.72,17560.18,20230104
8,2021,1,3017051000,복수동,m,남성,0,일요일,4,저녁,68596.48,17149.12,20230104
9,2021,1,3017051000,복수동,f,여성,0,일요일,5,야간,35992.36,5141.77,20230104
10,2021,1,3017051000,복수동,m,남성,0,일요일,5,야간,41880.09,5982.87,20230104
11,2021,1,3017051000,복수동,f,여성,1,월요일,1,출근,14737.93,7368.97,20230104
12,2021,1,3017051000,복수동,m,남성,1,월요일,1,출근,14395.67,7197.84,20230104
13,2021,1,3017051000,복수동,f,여성,1,월요일,2,주간,106111.93,11790.22,20230104
14,2021,1,3017051000,복수동,m,남성,1,월요일,2,주간,95914.15,10657.13,20230104
15,2021,1,3017051000,복수동,f,여성,1,월요일,3,퇴근,29935.12,14967.56,20230104
16,2021,1,3017051000,복수동,m,남성,1,월요일,3,퇴근,27931.96,13965.98,20230104
17,2021,1,3017051000,복수동,f,여성,1,월요일,4,저녁,58883.59,14720.9,20230104
18,2021,1,3017051000,복수동,m,남성,1,월요일,4,저녁,56990.14,14247.54,20230104
19,2021,1,3017051000,복수동,f,여성,1,월요일,5,야간,26302.22,3757.46,20230104
20,2021,1,3017051000,복수동,m,남성,1,월요일,5,야간,29248.59,4178.37,20230104
21,2021,1,3017051000,복수동,f,여성,2,화요일,1,출근,14446.18,7223.09,20230104
22,2021,1,3017051000,복수동,m,남성,2,화요일,1,출근,14113.21,7056.61,20230104
23,2021,1,3017051000,복수동,f,여성,2,화요일,2,주간,104968.94,11663.22,20230104
24,2021,1,3017051000,복수동,m,남성,2,화요일,2,주간,95544.55,10616.06,20230104
25,2021,1,3017051000,복수동,f,여성,2,화요일,3,퇴근,29265.95,14632.98,20230104
26,2021,1,3017051000,복수동,m,남성,2,화요일,3,퇴근,27640.25,13820.13,20230104
27,2021,1,3017051000,복수동,f,여성,2,화요일,4,저녁,59059.74,14764.94,20230104
28,2021,1,3017051000,복수동,m,남성,2,화요일,4,저녁,56486.72,14121.68,20230104
29,2021,1,3017051000,복수동,f,여성,2,화요일,5,야간,26163.12,3737.59,20230104
