순번,기준년,기준월,행정동코드,행정동명,성별코드,성별,연령대코드,연령대,유동인구수,시간당 평균 유동인구수,데이터생성일자
1,2021,03월,3017066000,둔산3동,f,여성,40,40대,333249.53,77294.65,2022-11-15
2,2021,01월,3017059700,관저2동,f,여성,60,60대,456480.35,99578.67,2022-11-15
3,2021,07월,3017066000,둔산3동,m,남성,50,50대,273025.84,64601.07,2022-11-15
4,2021,11월,3017066000,둔산3동,m,남성,10,10대,159723.68,35297.06,2022-11-15
5,2021,03월,3017055500,탄방동,m,남성,70,70세이상,246765.88,52488.94,2022-11-15
6,2021,06월,3017058200,갈마2동,f,여성,30,30대,407629.73,90221.65,2022-11-15
7,2021,04월,3017060000,기성동,f,여성,10,10대,3167.59,584.62,2022-11-15
8,2021,07월,3017059600,관저1동,m,남성,20,20대,560355.53,123613.06,2022-11-15
9,2021,06월,3017055500,탄방동,m,남성,30,30대,1079416.78,231776.37,2022-11-15
10,2021,08월,3017059700,관저2동,f,여성,50,50대,1023336.8,229479.75,2022-11-15
11,2021,08월,3017058100,갈마1동,f,여성,60,60대,320380.47,71101.92,2022-11-15
12,2021,09월,3017057000,가장동,m,남성,40,40대,196770.95,43892.68,2022-11-15
13,2021,11월,3017053500,정림동,f,여성,40,40대,169035.66,37517.41,2022-11-15
14,2021,09월,3017058600,월평1동,f,여성,60,60대,192639.22,42103.35,2022-11-15
15,2021,05월,3017055000,용문동,m,남성,70,70세이상,99343.02,21549.84,2022-11-15
16,2021,08월,3017053500,정림동,f,여성,50,50대,302162.83,67621.77,2022-11-15
17,2021,01월,3017051000,복수동,f,여성,20,20대,309053.11,67947.02,2022-11-15
18,2021,01월,3017063000,둔산1동,m,남성,20,20대,444028.25,94045.73,2022-11-15
19,2021,01월,3017057000,가장동,f,여성,70,70세이상,113972.91,25109.89,2022-11-15
20,2021,06월,3017065000,만년동,f,여성,70,70세이상,65529.54,13945.1,2022-11-15
21,2021,06월,3017053500,정림동,f,여성,50,50대,287450.94,64794.04,2022-11-15
