순번,기준년,기준월,행정동코드,행정동명,성별코드,성별,유동인구수,시간당 평균 유동인구수,데이터생성일자
1,2021,01월,3017051000,복수동,m,남성,1760282.7,391069.26,2022-11-15
2,2021,02월,3017051000,복수동,m,남성,1628640.03,362881.52,2022-11-15
3,2021,09월,3017051000,복수동,f,여성,2160969.19,477957.46,2022-11-15
4,2021,07월,3017051000,복수동,m,남성,1936430.77,431548.79,2022-11-15
5,2021,01월,3017051000,복수동,f,여성,1794915.81,397894.64,2022-11-15
6,2021,06월,3017051000,복수동,f,여성,2040956.67,454675.82,2022-11-15
7,2021,03월,3017051000,복수동,f,여성,2195362.21,481230.54,2022-11-15
8,2021,11월,3017051000,복수동,f,여성,2135743.92,472695.74,2022-11-15
9,2021,07월,3017051000,복수동,f,여성,1998336.83,447555.46,2022-11-15
10,2021,03월,3017051000,복수동,m,남성,2024299.02,446673.35,2022-11-15
11,2021,12월,3017051000,복수동,f,여성,2110887.08,467469.95,2022-11-15
12,2021,06월,3017051000,복수동,m,남성,1970896.98,436802.49,2022-11-15
13,2021,09월,3017051000,복수동,m,남성,2139631.89,470747.88,2022-11-15
14,2021,05월,3017051000,복수동,m,남성,2056340.56,453451.77,2022-11-15
15,2021,08월,3017051000,복수동,m,남성,1910636.8,426891.28,2022-11-15
16,2021,10월,3017051000,복수동,f,여성,2197083.71,487206.81,2022-11-15
17,2021,08월,3017051000,복수동,f,여성,1990330.86,445379.49,2022-11-15
18,2021,05월,3017051000,복수동,f,여성,2112852.2,467773.26,2022-11-15
19,2021,12월,3017051000,복수동,m,남성,2015488.15,447090.82,2022-11-15
20,2021,02월,3017051000,복수동,f,여성,1649258.12,366263.35,2022-11-15
21,2021,11월,3017051000,복수동,m,남성,2004216.34,443594.14,2022-11-15
22,2021,04월,3017051000,복수동,f,여성,2079337.5,460102.84,2022-11-15
23,2021,10월,3017051000,복수동,m,남성,2102965.93,465502.85,2022-11-15
24,2021,04월,3017051000,복수동,m,남성,1934933.31,430317.47,2022-11-15
25,2021,01월,3017052000,도마1동,f,여성,1605432.04,345712.32,2022-11-15
26,2021,01월,3017052000,도마1동,m,남성,1783180.85,386533.81,2022-11-15
27,2021,08월,3017052000,도마1동,m,남성,1872778.43,409715.09,2022-11-15
28,2021,10월,3017052000,도마1동,f,여성,1838854.84,397502.81,2022-11-15
29,2021,11월,3017052000,도마1동,f,여성,1816367.7,391587.49,2022-11-15
30,2021,03월,3017052000,도마1동,m,남성,1997972.2,434256.48,2022-11-15
31,2021,12월,3017052000,도마1동,f,여성,1834803.73,395372.67,2022-11-15
32,2021,07월,3017052000,도마1동,f,여성,1736830.41,376789.13,2022-11-15
33,2021,11월,3017052000,도마1동,m,남성,1907668.16,416909.34,2022-11-15
34,2021,04월,3017052000,도마1동,f,여성,1716464.91,371989.39,2022-11-15
35,2021,04월,3017052000,도마1동,m,남성,1868000.98,409492.54,2022-11-15
36,2021,08월,3017052000,도마1동,f,여성,1702526.53,369993.3,2022-11-15
37,2021,09월,3017052000,도마1동,m,남성,1952456.58,425587.54,2022-11-15
38,2021,12월,3017052000,도마1동,m,남성,1923227.05,419449.74,2022-11-15
39,2021,05월,3017052000,도마1동,m,남성,1909573.52,418321.03,2022-11-15
40,2021,06월,3017052000,도마1동,f,여성,1720755.32,372915.46,2022-11-15
41,2021,06월,3017052000,도마1동,m,남성,1839514.89,402977.29,2022-11-15
42,2021,07월,3017052000,도마1동,m,남성,1861381.12,407594.3,2022-11-15
43,2021,02월,3017052000,도마1동,m,남성,1680332.97,363829.57,2022-11-15
44,2021,09월,3017052000,도마1동,f,여성,1807331.85,389634.98,2022-11-15
