지형지물부호,관리번호,행정읍면동,도엽번호,도로구간번호,대장초기화여부,위도,경도
무인단속카메라,1,대전광역시 유성구 ,36710054,17190,1,36.364138,127.338138
무인단속카메라,2,대전광역시 서구 ,36710066,16628,1,36.348777,127.376944
무인단속카메라,3,대전광역시 서구 ,36710064,31560,1,36.332055,127.341083
무인단속카메라,4,대전광역시 서구 ,36710075,15260,1,36.307683,127.364342
무인단속카메라,5,대전광역시 서구 ,36710075,31728,1,36.312888,127.350083
무인단속카메라,6,대전광역시 유성구 ,36710064,134875,1,36.348807,127.326614
무인단속카메라,7,대전광역시 서구 ,36710055,16402,1,36.353444,127.358251
무인단속카메라,8,대전광역시 유성구 ,36710035,17124,1,36.401416,127.362666
무인단속카메라,9,대전광역시 유성구 ,36710064,31607,1,36.344166,127.346944
무인단속카메라,10,대전광역시 유성구 ,36710091,15489,1,36.273501,127.268416
무인단속카메라,11,대전광역시 유성구 ,36710053,16267,1,36.360388,127.305611
무인단속카메라,12,대전광역시 유성구 ,36710053,45393,1,36.357805,127.303501
무인단속카메라,13,대전광역시 서구 ,36710076,29076,1,36.319267,127.377775
무인단속카메라,14,대전광역시 유성구 ,36710055,44800,1,36.360501,127.350222
무인단속카메라,15,대전광역시 유성구 ,36710043,46887,1,36.395946,127.311841
무인단속카메라,16,대전광역시 유성구 ,36710055,44948,1,36.360194,127.350583
무인단속카메라,17,대전광역시 유성구 ,36710033,45719,1,36.413277,127.300251
무인단속카메라,18,대전광역시 중구 ,36710086,16488,1,36.292666,127.382472
무인단속카메라,19,대전광역시 유성구 ,36710064,33280,1,36.348638,127.335277
무인단속카메라,20,대전광역시 유성구 ,36710064,31573,1,36.332333,127.340861
무인단속카메라,21,대전광역시 서구 ,36710065,29697,1,36.336916,127.366638
무인단속카메라,22,대전광역시 서구 ,36710055,43358,1,36.364833,127.373222
무인단속카메라,23,대전광역시 유성구 ,36710073,105328,1,36.305777,127.319861
무인단속카메라,24,대전광역시 유성구 ,36710064,31574,1,36.346138,127.340111
무인단속카메라,25,대전광역시 유성구 ,36710045,17165,1,36.38953505,127.3743345
무인단속카메라,26,대전광역시 유성구 ,36710064,33280,1,36.348444,127.335222
무인단속카메라,27,대전광역시 유성구 ,36710036,17100,1,36.412383,127.377997
무인단속카메라,28,대전광역시 유성구 ,36710036,17100,1,36.412377,127.378271
무인단속카메라,29,대전광역시 유성구 ,36710036,36260,1,36.408734,127.381648
무인단속카메라,30,대전광역시 서구 ,36710075,33698,1,36.300791,127.367061
무인단속카메라,31,대전광역시 서구 ,36710085,35219,1,36.295226,127.362247
무인단속카메라,32,대전광역시 중구 ,36710086,19403,1,36.294812,127.389663
무인단속카메라,33,대전광역시 서구 ,36714003,17969,1,36.239236,127.318298
무인단속카메라,34,대전광역시 중구 ,36710086,16677,1,36.28312528,127.3761196
무인단속카메라,35,대전광역시 서구 ,36710084,18331,1,36.275985,127.348152
무인단속카메라,36,대전광역시 서구 ,36710055,43268,1,36.357971,127.374101
무인단속카메라,37,대전광역시 유성구 ,36710044,17249,1,36.391711,127.348177
무인단속카메라,38,대전광역시 유성구 ,36710054,17205,1,36.37010818,127.3400463
무인단속카메라,39,대전광역시 유성구 ,36710043,46906,1,36.386864,127.318005
무인단속카메라,40,대전광역시 유성구 ,36710054,44973,1,36.366703,127.332306
무인단속카메라,41,대전광역시 서구 ,36710094,34662,1,36.271301,127.345904
무인단속카메라,42,대전광역시 유성구 ,36710055,43864,1,36.365347,127.364034
무인단속카메라,43,대전광역시 서구 ,36710064,30390,1,36.348662,127.348026
무인단속카메라,44,대전광역시 중구 ,36710086,16513,1,36.298846,127.384867
무인단속카메라,45,대전광역시 중구 ,36710076,22963,1,36.318156,127.391811
무인단속카메라,46,대전광역시 중구 ,36710076,22814,1,36.322192,127.396174
무인단속카메라,47,대전광역시 서구 ,36710075,35169,1,36.302731,127.354181
무인단속카메라,48,대전광역시 서구 ,36710084,34401,1,36.296251,127.334888
무인단속카메라,49,대전광역시 서구 ,36710084,34576,1,36.298803,127.329581
무인단속카메라,50,대전광역시 서구 ,36710066,29158,1,36.330373,127.378328
무인단속카메라,51,대전광역시 서구 ,36710076,33458,1,36.300831,127.378814
무인단속카메라,52,대전광역시 서구 ,36710055,43939,1,36.356072,127.356811
무인단속카메라,53,대전광역시 서구 ,36710055,43173,1,36.368194,127.373251
무인단속카메라,54,대전광역시 서구 ,36710055,43260,1,36.362309,127.374453
무인단속카메라,55,대전광역시 유성구 ,36710054,127781,1,36.361075,127.338492
무인단속카메라,56,대전광역시 유성구 ,36710043,131900,1,36.379718,127.317683
무인단속카메라,57,대전광역시 유성구 ,36710064,31749,1,36.333585,127.338343
무인단속카메라,58,대전광역시 유성구 ,36710045,45775,1,36.382676,127.355025
무인단속카메라,59,대전광역시 서구 ,36710094,34565,1,36.254514,127.340283
무인단속카메라,60,대전광역시 서구 ,36710065,29645,1,36.340824,127.366681
무인단속카메라,61,대전광역시 유성구 ,36710091,15481,1,36.270743,127.273453
무인단속카메라,62,대전광역시 유성구 ,36710083,15547,1,36.284962,127.310634
무인단속카메라,63,대전광역시 유성구 ,36710026,16824,1,36.428509,127.386315
무인단속카메라,64,대전광역시 중구 ,36710066,21202,1,36.326386,127.392645
무인단속카메라,65,대전광역시 서구 ,36710075,15255,1,36.307568,127.364618
무인단속카메라,66,대전광역시 서구 ,36710066,15025,1,36.338381,127.393251
무인단속카메라,67,대전광역시 서구 ,36710056,17020,1,36.358053,127.379654
무인단속카메라,68,대전광역시 서구 ,36710055,16114,1,36.354195,127.364074
무인단속카메라,69,대전광역시 서구 ,36710066,15006,1,36.344433,127.379821
무인단속카메라,70,대전광역시 유성구 ,36710054,44928,1,36.353926,127.341834
무인단속카메라,71,대전광역시 유성구 ,36710053,16268,1,36.360576,127.305354
무인단속카메라,72,대전광역시 유성구 ,36710046,39809,1,36.390542,127.391976
무인단속카메라,73,대전광역시 유성구 ,36710054,47038,1,36.374607,127.325805
무인단속카메라,74,대전광역시 서구 ,36710055,16135,1,36.353243,127.368861
무인단속카메라,75,대전광역시 서구 ,36710075,15423,1,36.305099,127.352966
무인단속카메라,76,대전광역시 서구 ,36710075,29521,1,36.323794,127.370372
무인단속카메라,77,대전광역시 서구 ,36710076,23126,1,36.313061,127.380399
무인단속카메라,78,대전광역시 서구 ,36710084,100198,1,36.293295,127.328161
무인단속카메라,79,대전광역시 서구 ,36710056,42517,1,36.359575,127.379122
무인단속카메라,80,대전광역시 서구 ,36710056,17312,1,36.351229,127.378017
무인단속카메라,81,대전광역시 서구 ,36710055,43183,1,36.358556,127.364155
무인단속카메라,82,대전광역시 유성구 ,36710073,93063,1,36.314691,127.315581
무인단속카메라,83,대전광역시 유성구 ,36710063,92981,1,36.341442,127.319942
무인단속카메라,84,대전광역시 서구 ,36710074,31832,1,36.321041,127.343803
무인단속카메라,85,대전광역시 서구 ,36710084,34470,1,36.299309,127.343223
무인단속카메라,86,대전광역시 중구 ,36710086,16479,1,36.299021,127.385216
무인단속카메라,87,대전광역시 중구 ,36710066,27002,1,36.329911,127.396546
무인단속카메라,88,대전광역시 중구 ,36710076,24646,1,36.321965,127.390414
무인단속카메라,89,대전광역시 중구 ,36710076,63855,1,36.319285,127.392522
무인단속카메라,90,대전광역시 서구 ,36710074,34380,1,36.305522,127.340498
무인단속카메라,91,대전광역시 서구 ,36710066,87007,1,36.329606,127.379036
무인단속카메라,92,대전광역시 서구 ,36710084,34424,1,36.297999,127.344757
무인단속카메라,93,대전광역시 서구 ,36710076,33530,1,36.300706,127.378511
무인단속카메라,94,대전광역시 서구 ,36710055,43896,1,36.354668,127.357729
무인단속카메라,95,대전광역시 서구 ,36710066,9297,1,36.345551,127.390312
무인단속카메라,96,대전광역시 유성구 ,36710043,46807,1,36.391321,127.312029
무인단속카메라,97,대전광역시 유성구 ,36710026,37807,1,36.432878,127.384529
무인단속카메라,98,대전광역시 유성구 ,36710026,37802,1,36.429641,127.382727
무인단속카메라,99,대전광역시 유성구 ,36710064,31916,1,36.340215,127.342951
무인단속카메라,100,대전광역시 유성구 ,36710054,44649,1,36.361295,127.338461
무인단속카메라,101,대전광역시 유성구 ,36710064,31664,1,36.342812,127.335831
무인단속카메라,102,대전광역시 유성구 ,36710064,31711,1,36.342587,127.332698
무인단속카메라,103,대전광역시 유성구 ,36710043,46872,1,36.387771,127.322511
무인단속카메라,104,대전광역시 중구 ,36710076,20328,1,36.323356,127.395483
무인단속카메라,105,대전광역시 중구 ,36710076,20289,1,36.322457,127.388182
무인단속카메라,106,대전광역시 중구 ,36710076,72404,1,36.309585,127.393273
무인단속카메라,107,대전광역시 서구 ,36710076,29226,1,36.315723,127.376327
무인단속카메라,108,대전광역시 서구 ,36710075,33678,1,36.30445463,127.3656953
무인단속카메라,109,대전광역시 서구 ,36710075,33677,1,36.302642,127.366247
무인단속카메라,110,대전광역시 서구 ,36710076,29203,1,36.308314,127.375034
무인단속카메라,111,대전광역시 서구 ,36710066,64860,1,36.331455,127.388671
무인단속카메라,112,대전광역시 서구 ,36710066,65096,1,36.338966,127.386096
무인단속카메라,113,대전광역시 서구 ,36710074,30540,1,36.306438,127.340841
무인단속카메라,114,대전광역시 서구 ,36710076,23289,1,36.323521,127.384722
무인단속카메라,115,대전광역시 중구 ,36710066,21033,1,36.325811,127.386208
무인단속카메라,116,대전광역시 서구 ,36710094,33845,1,36.250548,127.336401
무인단속카메라,117,대전광역시 서구 ,36710075,29803,1,36.312019,127.374219
무인단속카메라,118,대전광역시 서구 ,36710065,29551,1,36.332216,127.371488
무인단속카메라,119,대전광역시 서구 ,36710084,33880,1,36.298138,127.327237
무인단속카메라,120,대전광역시 서구 ,36710084,33966,1,36.29730784,127.3264572
무인단속카메라,121,대전광역시 서구 ,36710084,34576,1,36.299123,127.329555
무인단속카메라,122,대전광역시 서구 ,36710084,33875,1,36.299097,127.329512
무인단속카메라,123,대전광역시 서구 ,36710084,34465,1,36.298682,127.335102
무인단속카메라,124,대전광역시 서구 ,36710074,31721,1,36.309525,127.336909
무인단속카메라,125,대전광역시 서구 ,36710084,34472,1,36.299015,127.343422
무인단속카메라,126,대전광역시 서구 ,36710074,30372,1,36.310261,127.347257
무인단속카메라,127,대전광역시 서구 ,36710084,34356,1,36.295258,127.340723
무인단속카메라,128,대전광역시 서구 ,36710074,34574,1,36.304596,127.344941
무인단속카메라,129,대전광역시 서구 ,36710074,15400,1,36.30382414,127.346446
무인단속카메라,130,대전광역시 서구 ,36710074,32005,1,36.320997,127.344114
무인단속카메라,131,대전광역시 서구 ,36710066,29167,1,36.340643,127.377373
무인단속카메라,132,대전광역시 서구 ,36710055,43153,1,36.359955,127.366945
무인단속카메라,133,대전광역시 서구 ,36710066,134143,1,36.349121,127.380828
무인단속카메라,134,대전광역시 서구 ,36710055,125032,1,36.361061,127.374165
무인단속카메라,135,대전광역시 서구 ,36710055,43906,1,36.355013,127.357879
무인단속카메라,136,대전광역시 서구 ,36710065,29615,1,36.34624372,127.3684438
무인단속카메라,137,대전광역시 서구 ,36710055,43186,1,36.367472,127.374197
무인단속카메라,138,대전광역시 서구 ,36710056,42624,1,36.367221,127.376805
무인단속카메라,139,대전광역시 서구 ,36710056,16934,1,36.367472,127.379809
무인단속카메라,140,대전광역시 서구 ,36710055,43344,1,36.354452,127.369337
무인단속카메라,141,대전광역시 서구 ,36710055,43214,1,36.355683,127.368517
무인단속카메라,142,대전광역시 서구 ,36710066,21181,1,36.345621,127.390269
무인단속카메라,143,대전광역시 유성구 ,36710083,34040,1,36.29937992,127.3158957
무인단속카메라,144,대전광역시 유성구 ,36710073,31162,1,36.314586,127.322822
무인단속카메라,145,대전광역시 유성구 ,36710063,30961,1,36.34263053,127.3038249
무인단속카메라,146,대전광역시 유성구 ,36710064,31712,1,36.342881,127.332414
무인단속카메라,147,대전광역시 유성구 ,36710064,33243,1,36.347151,127.335477
무인단속카메라,148,대전광역시 유성구 ,36710054,43532,1,36.350053,127.344382
무인단속카메라,149,대전광역시 유성구 ,36710064,43532,1,36.349691,127.344082
무인단속카메라,150,대전광역시 유성구 ,36710064,31916,1,36.340072,127.342934
무인단속카메라,151,대전광역시 유성구 ,36710064,31743,1,36.334584,127.338009
