"시도명",시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,신호기설치방식,도로형태,주도로여부,신호등관리번호,신호등구분,신호등색종류,신호등화방식,신호등화순서,신호등화시간,광원종류,신호제어방식,신호시간결정방식,점멸등운영여부,점멸등운영시작시각,점멸등운영종료시각,보행자작동신호기유무,잔여시간표시기유무,시각장애인용음향신호기유무,도로안내표지일련번호,관리기관명,관리기관전화번호,데이터기준일자
"대전광역시",대덕구,일반국도,17,신탄진로,1,,대전광역시 대덕구 상서동 259-4,36.4278371,127.4205902,2,2,Y,1,5,1,1,녹색,100,2,99,99,Y,00:00,23:59,N,Y,N,,대전광역시,042-120,2023-01-05
"대전광역시",유성구,특별시도,,테크노2로,1,,대전광역시 유성구 관평동 1287,36.4270298,127.3943049,3,2,Y,2,6,3,3,녹색+황색+적색,30+3+100,2,99,99,N,00:00,00:00,N,Y,N,,대전광역시,042-120,2023-01-05
"대전광역시",유성구,특별시도,,배울2로,2,,대전광역시 유성구 관평동 673,36.4226941,127.3843233,3,1,Y,3,6,3,3,녹색+황색+적색,30+3+100,2,99,99,N,00:00,00:00,N,Y,N,,대전광역시,042-120,2023-01-05
"대전광역시",유성구,특별시도,,배울2로,1,,대전광역시 유성구 관평동 673,36.4228426,127.3841118,3,1,Y,4,6,3,3,녹색+황색+적색,30+3+100,2,99,99,N,00:00,00:00,N,Y,N,,대전광역시,042-120,2023-01-05
"대전광역시",유성구,특별시도,,금남구즉로,2,,대전광역시 유성구 금고동 481-1,36.4618919,127.3895722,3,1,Y,5,6,3,3,녹색+황색+적색,30+3+100,2,99,99,N,00:00,00:00,N,Y,N,,대전광역시,042-120,2023-01-05
"대전광역시",유성구,특별시도,,금남구즉로,2,,대전광역시 유성구 금고동 481-1,36.4619014,127.3895928,3,1,Y,6,6,3,3,녹색+황색+적색,30+3+100,2,99,99,N,00:00,00:00,N,Y,N,,대전광역시,042-120,2023-01-05
"대전광역시",유성구,특별시도,,금남구즉로,1,,대전광역시 유성구 금고동 481-1,36.4619299,127.3895329,3,1,Y,7,6,3,3,녹색+황색+적색,30+3+100,2,99,99,N,00:00,00:00,N,Y,N,,대전광역시,042-120,2023-01-05
"대전광역시",유성구,특별시도,,금남구즉로,2,,대전광역시 유성구 금고동 481-1,36.4619293,127.3895316,3,1,Y,8,6,3,3,녹색+황색+적색,30+3+100,2,99,99,N,00:00,00:00,N,Y,N,,대전광역시,042-120,2023-01-05
"대전광역시",대덕구,특별시도,,신탄진남로,2,,대전광역시 대덕구 신탄진동 739,36.4469988,127.4356409,2,1,Y,9,2,2,2,녹색+적색,30+100,2,99,99,N,00:00,00:00,N,Y,N,,대전광역시,042-120,2023-01-05
"대전광역시",대덕구,특별시도,,신탄진남로,1,,대전광역시 대덕구 신탄진동 739,36.4471664,127.4357623,2,1,Y,10,2,2,2,녹색+적색,30+100,2,99,99,N,00:00,00:00,N,Y,N,,대전광역시,042-120,2023-01-05
"대전광역시",대덕구,특별시도,,신탄진남로,1,,대전광역시 대덕구 신탄진동 739,36.4471726,127.4357079,3,1,Y,11,1,3,3,녹색+황색+적색,30+3+100,2,99,99,N,00:00,00:00,N,Y,N,,대전광역시,042-120,2023-01-05
"대전광역시",대덕구,특별시도,,신탄진남로,2,,대전광역시 대덕구 신탄진동 739,36.4471508,127.4356450,2,1,Y,12,2,2,2,녹색+적색,30+100,2,99,99,N,00:00,00:00,N,Y,N,,대전광역시,042-120,2023-01-05
"대전광역시",대덕구,특별시도,,신탄진남로,2,,대전광역시 대덕구 신탄진동 739,36.4470179,127.4356955,3,1,Y,13,1,3,3,녹색+황색+적색,30+3+100,2,99,99,N,00:00,00:00,N,Y,N,,대전광역시,042-120,2023-01-05
"대전광역시",대덕구,특별시도,,신탄진남로,1,,대전광역시 대덕구 신탄진동 739,36.4470164,127.4357582,2,1,Y,14,2,2,2,녹색+적색,30+100,2,99,99,N,00:00,00:00,N,Y,N,,대전광역시,042-120,2023-01-05
"대전광역시",대덕구,특별시도,,신탄진동로,2,,대전광역시 대덕구 신탄진동 737,36.4479941,127.4333020,3,1,Y,15,1,3,3,녹색+황색+적색,30+3+100,2,99,99,N,00:00,00:00,N,Y,N,,대전광역시,042-120,2023-01-05
"대전광역시",대덕구,기타,,신탄진동로36번길,2,,대전광역시 대덕구 신탄진동 737,36.4479425,127.4333104,2,1,Y,16,2,2,2,녹색+적색,30+100,2,99,99,N,00:00,00:00,N,Y,N,,대전광역시,042-120,2023-01-05
"대전광역시",대덕구,특별시도,,신탄진동로,1,,대전광역시 대덕구 신탄진동 737,36.4480322,127.4332838,3,1,Y,17,1,3,3,녹색+황색+적색,30+3+100,2,99,99,N,00:00,00:00,N,Y,N,,대전광역시,042-120,2023-01-05
