접수부서,접수완료일시,경찰청,사건상태,사건종별,신고자성별,발생지점,경도,위도,동일사건발생,접수완료일시_연도
충남청,2020-12-01 08:17:50,충남청,종결요청,교통사고,여성,충청남도 천안시 서북구 성정동(행정:성정2동) 1259,127.13716,36.826718,,2020
대전청,2020-12-01 03:24:26,대전청,종결요청,음주운전,남성,대전광역시 유성구 봉명동(행정:온천1동) 575,127.34155058,36.35369614,,2020
충남청,2020-12-01 07:37:18,충남청,종결요청,교통불편,남성,충청남도 천안시 서북구 성환읍 성월리(행정:성환읍) 150,127.136142,36.9179,,2020
대전청,2020-12-01 07:08:44,대전청,종결요청,교통사고,남성,대전광역시 중구 석교동(석교동) 85-14,127.44754462,36.3067236,,2020
대전청,2020-12-01 07:09:20,대전청,종결요청,교통사고,여성,대전광역시 중구 석교동(행정:석교동) 88-11,127.447175,36.306694,,2020
충남청,2020-12-01 08:21:08,충남청,종결요청,교통불편,남성,충청남도 청양군 남양면 온직리(남양면) 산31,126.8072222,36.395,,2020
2지구대(충남),2020-12-01 01:29:21,충남청,종결요청,음주운전,남성,정안휴게소 부근,,,,2020
충남청,2020-12-01 01:08:51,충남청,종결요청,음주운전,남성,충청남도 아산시 배방읍 공수리(행정:배방읍) 151-51,127.055248,36.773785,Y,2020
충남청,2020-12-01 01:36:38,충남청,종결요청,교통사고,남성,충청남도 서산시 대산읍 대로리(행정:대산읍) 216-3,126.41229,36.967612,,2020
대전청,2020-12-01 01:39:03,대전청,종결요청,교통사고,남성,대전광역시 동구 대동(행정:대동) 355-14,127.44739,36.324597,,2020
충남청,2020-12-01 01:47:25,충남청,종결요청,음주운전,여성,충청남도 논산시 양촌면 반곡리(양촌면) 산21,127.207936,36.182662,,2020
충남청,2020-12-01 02:23:03,충남청,종결요청,교통사고,남성,충청남도 아산시 둔포면 송용리(행정:둔포면) 71-68,127.032318,36.92151,,2020
2지구대(충남),2020-12-01 02:21:50,충남청,종결요청,교통위반,남성,논산분기점,,,,2020
충남청,2020-12-01 02:24:26,충남청,종결요청,교통사고,남성,충청남도 서산시 읍내동(부춘동) 733-2,126.43844469,36.77918789,,2020
충남청,2020-12-01 01:37:37,충남청,종결요청,교통사고,불상,충청남도 서산시 대산읍 대로리(대산읍) 216-3,126.41224509,36.96757865,,2020
충남청,2020-12-01 01:29:19,충남청,종결요청,교통사고,남성,충청남도 아산시 실옥동(온양4동) 131-3,126.9927778,36.7941667,,2020
대전청,2020-12-01 07:33:19,대전청,종결요청,교통위반,남성,대전광역시 유성구 하기동(노은2동) 585,127.32065463,36.38446684,,2020
대전청,2020-12-01 01:28:14,대전청,종결요청,교통불편,남성,대전광역시 동구 구도동(행정:산내동) 368,127.469868,36.271254,,2020
충남청,2020-12-01 07:55:56,충남청,종결요청,교통사고,남성,충청남도 논산시 은진면 연서리(은진면) 500-46,127.10207288,36.15931303,,2020
