사고다발지FID,사고다발지ID,법정동코드,지점코드,시도시군구명,지점명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도,다발지역폴리곤
6468064,2018074,30110115,30110001,대전광역시 동구1,대전광역시 동구 용전동(동부네거리 인근),35,69,0,7,62,0,127.4420764,36.35108131,"{""type"":""Polygon"",""coordinates"":[[[127.44342383,36.35108131],[127.44339794,36.35086958],[127.44332126,36.350666],[127.44319674,36.35047837],[127.44302916,36.35031391],[127.44282497,36.35017894],[127.44259201,36.35007866],[127.44233923,36.3500169],[127.44207636,36.34999604],[127.44181348,36.3500169],[127.4415607,36.35007866],[127.44132774,36.35017894],[127.44112355,36.35031391],[127.44095597,36.35047837],[127.44083145,36.350666],[127.44075477,36.35086958],[127.44072888,36.35108131],[127.44075477,36.35129303],[127.44083145,36.35149661],[127.44095597,36.35168424],[127.44112355,36.35184869],[127.44132774,36.35198366],[127.4415607,36.35208394],[127.44181348,36.3521457],[127.44207636,36.35216655],[127.44233923,36.3521457],[127.44259201,36.35208394],[127.44282497,36.35198366],[127.44302916,36.35184869],[127.44319674,36.35168424],[127.44332126,36.35149661],[127.44339794,36.35129303],[127.44342383,36.35108131]]]}"
6468065,2018074,30110120,30110002,대전광역시 동구2,대전광역시 동구 중동(대전역네거리 인근),25,32,0,9,23,0,127.4326314,36.3311869,"{""type"":""Polygon"",""coordinates"":[[[127.43397883,36.3311869],[127.43395294,36.33097512],[127.43387626,36.33077149],[127.43375174,36.33058381],[127.43358416,36.33041931],[127.43337997,36.33028431],[127.43314701,36.33018399],[127.43289424,36.33012222],[127.43263136,36.33010136],[127.43236848,36.33012222],[127.4321157,36.33018399],[127.43188274,36.33028431],[127.43167855,36.33041931],[127.43151097,36.33058381],[127.43138645,36.33077149],[127.43130977,36.33097512],[127.43128388,36.3311869],[127.43130977,36.33139868],[127.43138645,36.33160232],[127.43151097,36.33178999],[127.43167855,36.33195449],[127.43188274,36.33208948],[127.4321157,36.3321898],[127.43236848,36.33225157],[127.43263136,36.33227243],[127.43289424,36.33225157],[127.43314701,36.3321898],[127.43337997,36.33208948],[127.43358416,36.33195449],[127.43375174,36.33178999],[127.43387626,36.33160232],[127.43395294,36.33139868],[127.43397883,36.3311869]]]}"
6468066,2018074,30110117,30110003,대전광역시 동구3,대전광역시 동구 홍도동(용전네거리 인근),23,31,0,7,22,2,127.4320732,36.34751465,"{""type"":""Polygon"",""coordinates"":[[[127.43342067,36.34751465],[127.43339478,36.34730292],[127.4333181,36.34709932],[127.43319358,36.34691168],[127.43302601,36.34674722],[127.43282182,36.34661225],[127.43258886,36.34651195],[127.43233608,36.34645019],[127.4320732,36.34642934],[127.43181032,36.34645019],[127.43155754,36.34651195],[127.43132458,36.34661225],[127.43112039,36.34674722],[127.43095282,36.34691168],[127.4308283,36.34709932],[127.43075162,36.34730292],[127.43072573,36.34751465],[127.43075162,36.34772638],[127.4308283,36.34792998],[127.43095282,36.34811761],[127.43112039,36.34828207],[127.43132458,36.34841704],[127.43155754,36.34851733],[127.43181032,36.34857909],[127.4320732,36.34859995],[127.43233608,36.34857909],[127.43258886,36.34851733],[127.43282182,36.34841704],[127.43302601,36.34828207],[127.43319358,36.34811761],[127.4333181,36.34792998],[127.43339478,36.34772638],[127.43342067,36.34751465]]]}"
6468067,2018074,30140111,30140001,대전광역시 중구1,대전광역시 중구 부사동(보문오거리 인근),35,52,0,10,42,0,127.434847,36.31314262,"{""type"":""Polygon"",""coordinates"":[[[127.43619452,36.31314262],[127.43616862,36.31293079],[127.43609195,36.31272711],[127.43596743,36.31253939],[127.43579985,36.31237485],[127.43559566,36.31223982],[127.4353627,36.31213948],[127.43510992,36.31207769],[127.43484704,36.31205683],[127.43458416,36.31207769],[127.43433139,36.31213948],[127.43409843,36.31223982],[127.43389424,36.31237485],[127.43372666,36.31253939],[127.43360214,36.31272711],[127.43352546,36.31293079],[127.43349957,36.31314262],[127.43352546,36.31335444],[127.43360214,36.31355813],[127.43372666,36.31374584],[127.43389424,36.31391038],[127.43409843,36.31404541],[127.43433139,36.31414574],[127.43458416,36.31420753],[127.43484704,36.31422839],[127.43510992,36.31420753],[127.4353627,36.31414574],[127.43559566,36.31404541],[127.43579985,36.31391038],[127.43596743,36.31374584],[127.43609195,36.31355813],[127.43616862,36.31335444],[127.43619452,36.31314262]]]}"
6468068,2018074,30140110,30140002,대전광역시 중구2,대전광역시 중구 대사동(성모오거리 인근),26,59,2,6,51,0,127.4201933,36.32399503,"{""type"":""Polygon"",""coordinates"":[[[127.4215408,36.32399503],[127.42151491,36.32378323],[127.42143823,36.32357957],[127.42131371,36.32339188],[127.42114613,36.32322736],[127.42094194,36.32309235],[127.42070898,36.32299203],[127.4204562,36.32293025],[127.42019332,36.32290939],[127.41993045,36.32293025],[127.41967767,36.32299203],[127.41944471,36.32309235],[127.41924052,36.32322736],[127.41907294,36.32339188],[127.41894842,36.32357957],[127.41887174,36.32378323],[127.41884585,36.32399503],[127.41887174,36.32420682],[127.41894842,36.32441048],[127.41907294,36.32459817],[127.41924052,36.32476268],[127.41944471,36.32489769],[127.41967767,36.32499801],[127.41993045,36.32505979],[127.42019332,36.32508065],[127.4204562,36.32505979],[127.42070898,36.32499801],[127.42094194,36.32489769],[127.42114613,36.32476268],[127.42131371,36.32459817],[127.42143823,36.32441048],[127.42151491,36.32420682],[127.4215408,36.32399503]]]}"
6468069,2018074,30140115,30140003,대전광역시 중구3,대전광역시 중구 유천동(서부네거리 인근),23,52,0,4,48,0,127.3915442,36.31689021,"{""type"":""Polygon"",""coordinates"":[[[127.3928917,36.31689021],[127.39286581,36.3166784],[127.39278913,36.31647472],[127.39266461,36.31628701],[127.39249704,36.31612248],[127.39229285,36.31598745],[127.39205989,36.31588712],[127.39180711,36.31582534],[127.39154423,36.31580447],[127.39128135,36.31582534],[127.39102858,36.31588712],[127.39079561,36.31598745],[127.39059142,36.31612248],[127.39042385,36.31628701],[127.39029933,36.31647472],[127.39022265,36.3166784],[127.39019676,36.31689021],[127.39022265,36.31710203],[127.39029933,36.3173057],[127.39042385,36.31749341],[127.39059142,36.31765794],[127.39079561,36.31779296],[127.39102858,36.31789329],[127.39128135,36.31795507],[127.39154423,36.31797594],[127.39180711,36.31795507],[127.39205989,36.31789329],[127.39229285,36.31779296],[127.39249704,36.31765794],[127.39266461,36.31749341],[127.39278913,36.3173057],[127.39286581,36.31710203],[127.3928917,36.31689021]]]}"
6468070,2018074,30170112,30170001,대전광역시 서구1,대전광역시 서구 둔산동(계룡로네거리 인근),68,86,0,12,71,3,127.3773467,36.34972506,"{""type"":""Polygon"",""coordinates"":[[[127.3786942,36.34972506],[127.37866831,36.34951333],[127.37859163,36.34930974],[127.37846711,36.34912211],[127.37829954,36.34895765],[127.37809535,36.34882268],[127.37786239,36.34872239],[127.37760961,36.34866063],[127.37734673,36.34863978],[127.37708385,36.34866063],[127.37683108,36.34872239],[127.37659812,36.34882268],[127.37639392,36.34895765],[127.37622635,36.34912211],[127.37610183,36.34930974],[127.37602515,36.34951333],[127.37599926,36.34972506],[127.37602515,36.34993678],[127.37610183,36.35014037],[127.37622635,36.350328],[127.37639392,36.35049246],[127.37659812,36.35062742],[127.37683108,36.35072771],[127.37708385,36.35078947],[127.37734673,36.35081032],[127.37760961,36.35078947],[127.37786239,36.35072771],[127.37809535,36.35062742],[127.37829954,36.35049246],[127.37846711,36.350328],[127.37859163,36.35014037],[127.37866831,36.34993678],[127.3786942,36.34972506]]]}"
6468071,2018074,30170111,30170002,대전광역시 서구2,대전광역시 서구 갈마동(갈마네거리 인근),57,85,0,11,71,3,127.3688725,36.35308631,"{""type"":""Polygon"",""coordinates"":[[[127.37021992,36.35308631],[127.37019403,36.35287459],[127.37011735,36.35267101],[127.36999283,36.35248338],[127.36982526,36.35231893],[127.36962107,36.35218397],[127.36938811,36.35208368],[127.36913533,36.35202192],[127.36887245,36.35200107],[127.36860957,36.35202192],[127.3683568,36.35208368],[127.36812384,36.35218397],[127.36791964,36.35231893],[127.36775207,36.35248338],[127.36762755,36.35267101],[127.36755087,36.35287459],[127.36752498,36.35308631],[127.36755087,36.35329802],[127.36762755,36.3535016],[127.36775207,36.35368922],[127.36791964,36.35385367],[127.36812384,36.35398863],[127.3683568,36.35408892],[127.36860957,36.35415067],[127.36887245,36.35417152],[127.36913533,36.35415067],[127.36938811,36.35408892],[127.36962107,36.35398863],[127.36982526,36.35385367],[127.36999283,36.35368922],[127.37011735,36.3535016],[127.37019403,36.35329802],[127.37021992,36.35308631]]]}"
6468072,2018074,30170112,30170003,대전광역시 서구3,대전광역시 서구 둔산동(은하수네거리 인근),43,53,0,6,44,3,127.3783849,36.35133806,"{""type"":""Polygon"",""coordinates"":[[[127.37973239,36.35133806],[127.3797065,36.35112634],[127.37962982,36.35092275],[127.3795053,36.35073512],[127.37933773,36.35057067],[127.37913353,36.3504357],[127.37890057,36.35033541],[127.3786478,36.35027365],[127.37838492,36.3502528],[127.37812204,36.35027365],[127.37786926,36.35033541],[127.3776363,36.3504357],[127.37743211,36.35057067],[127.37726454,36.35073512],[127.37714002,36.35092275],[127.37706334,36.35112634],[127.37703744,36.35133806],[127.37706334,36.35154978],[127.37714002,36.35175336],[127.37726454,36.35194099],[127.37743211,36.35210544],[127.3776363,36.35224041],[127.37786926,36.35234069],[127.37812204,36.35240245],[127.37838492,36.3524233],[127.3786478,36.35240245],[127.37890057,36.35234069],[127.37913353,36.35224041],[127.37933773,36.35210544],[127.3795053,36.35194099],[127.37962982,36.35175336],[127.3797065,36.35154978],[127.37973239,36.35133806]]]}"
6468073,2018074,30200125,30200001,대전광역시 유성구1,대전광역시 유성구 신성동(봉명네거리 인근),40,62,0,12,49,1,127.3419576,36.35533537,"{""type"":""Polygon"",""coordinates"":[[[127.34330511,36.35533537],[127.34327922,36.35512366],[127.34320254,36.35492008],[127.34307802,36.35473246],[127.34291044,36.35456802],[127.34270625,36.35443306],[127.34247329,36.35433277],[127.34222052,36.35427102],[127.34195764,36.35425017],[127.34169476,36.35427102],[127.34144198,36.35433277],[127.34120902,36.35443306],[127.34100483,36.35456802],[127.34083725,36.35473246],[127.34071273,36.35492008],[127.34063606,36.35512366],[127.34061016,36.35533537],[127.34063606,36.35554708],[127.34071273,36.35575065],[127.34083725,36.35593827],[127.34100483,36.35610271],[127.34120902,36.35623767],[127.34144198,36.35633795],[127.34169476,36.35639971],[127.34195764,36.35642056],[127.34222052,36.35639971],[127.34247329,36.35633795],[127.34270625,36.35623767],[127.34291044,36.35610271],[127.34307802,36.35593827],[127.34320254,36.35575065],[127.34327922,36.35554708],[127.34330511,36.35533537]]]}"
