사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2019010100100009,2019년 1월 1일 00시,화요일,충청남도 천안시 동남구 목천읍,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,47세,상해없음,승용,남,30세,경상
2019010100100056,2019년 1월 1일 03시,화요일,충청남도 천안시 서북구 와촌동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,43세,상해없음,승용,남,29세,중상
2019010100100079,2019년 1월 1일 05시,화요일,충청남도 천안시 서북구 백석동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,36세,상해없음,승용,남,57세,상해없음
2019010100100212,2019년 1월 1일 15시,화요일,충청남도 천안시 서북구 불당동,경상사고,0,0,4,0,차대차 - 측면충돌,신호위반,포장 - 건조,흐림,교차로 - 교차로안,승용,여,30세,상해없음,승용,남,55세,경상
2019010100100256,2019년 1월 1일 18시,화요일,충청남도 천안시 서북구 입장면,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,흐림,교차로 - 교차로안,승용,남,50세,상해없음,승합,남,38세,경상
2019010100100339,2019년 1월 1일 22시,화요일,충청남도 천안시 동남구 신부동,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,51세,상해없음,승용,남,63세,경상
2019010100100348,2019년 1월 1일 23시,화요일,충청남도 천안시 서북구 두정동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,30세,상해없음,보행자,남,29세,경상
2019010100100349,2019년 1월 1일 23시,화요일,충청남도 천안시 서북구 쌍용동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,49세,상해없음,승용,남,35세,경상
2019010200100021,2019년 1월 2일 00시,수요일,충청남도 천안시 서북구 두정동,경상사고,0,0,2,0,차대차 - 정면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,20세,상해없음,승용,남,50세,경상
2019010200100067,2019년 1월 2일 06시,수요일,충청남도 천안시 동남구 봉명동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,51세,상해없음,보행자,남,59세,중상
