번호,분전함,지번주소,위도,경도,데이터 기준일자
1,(미)동남D-62,충청남도 천안시 동남구 청당동 389-85,36.78080935,127.1453624,2022-07-05
2,(미)동남D-63,충청남도 천안시 동남구 청당동 299-11,36.77955184,127.1493704,2022-07-05
3,(미)동남D-64,충청남도 천안시 동남구 구룡동 300-7,36.7692273,127.1475695,2022-07-05
4,(미)동남D-65,충청남도 천안시 동남구 구룡동 292-2,36.7689388,127.1476809,2022-07-05
5,(미)동남D-66,충청남도 천안시 동남구 구룡동 144-3,36.76777855,127.1530773,2022-07-05
6,(미)동남D-67,충청남도 천안시 동남구 구룡동 660-12,36.76738215,127.1530094,2022-07-05
7,(미설치)동남A-27,충청남도 천안시 동남구 목천읍 천정리 264-14,36.76571606,127.2112359,2022-07-05
8,(육교)동남-삼성리육교등,충청남도 천안시 동남구 목천읍 삼성리 124-5,36.7582037,127.171591,2022-07-05
9,(육교)동남Z14-대붕육교,충청남도 천안시 동남구 대흥동 300-10,36.80536581,127.1462773,2022-07-05
10,(임)먹거리11길29,충청남도 천안시 동남구 신부동 460-4,36.81818762,127.155918,2022-07-05
11,(임)청당초교신설,충청남도 천안시 동남구 청당동 127-5,36.7805526,127.152509,2022-07-05
12,(체육)동남-족구장,충청남도 천안시 동남구 청당동 407,36.78265017,127.1451222,2022-07-05
13,(통로)동남-유량지하차도,충청남도 천안시 동남구 유량동 101-2,36.80291983,127.1890444,2022-07-05
14,(통로)동남43호(통로1),충청남도 천안시 동남구 풍세면 삼태리 28-12,36.75430964,127.0994991,2022-07-05
15,(통로)동남43호(통로10),충청남도 천안시 동남구 풍세면 보성리 157-1,36.73236885,127.1305659,2022-07-05
16,(통로)동남43호(통로11),충청남도 천안시 동남구 풍세면 보성리 261-1,36.73083406,127.1331662,2022-07-05
17,(통로)동남43호(통로12),충청남도 천안시 동남구 풍세면 가송리 2-2,36.72908803,127.1352622,2022-07-05
18,(통로)동남43호(통로13),충청남도 천안시 동남구 풍세면 가송리 498-1,36.72800634,127.135557,2022-07-05
19,(통로)동남43호(통로14),충청남도 천안시 동남구 풍세면 가송리 587-1,36.72590588,127.1362977,2022-07-05
20,(통로)동남43호(통로2),충청남도 천안시 동남구 풍세면 삼태리 41,36.7510274,127.1020565,2022-07-05
21,(통로)동남43호(통로3),충청남도 천안시 동남구 풍세면 삼태리 산52-1,36.75010776,127.1026347,2022-07-05
22,(통로)동남43호(통로4),충청남도 천안시 동남구 풍세면 용정리 627-3,36.74827747,127.1038025,2022-07-05
23,(통로)동남43호(통로5),충청남도 천안시 동남구 풍세면 용정리 170-2,36.74545539,127.1055874,2022-07-05
24,(통로)동남43호(통로6),충청남도 천안시 동남구 풍세면 용정리 467-4,36.74258991,127.108002,2022-07-05
25,(통로)동남43호(통로7),충청남도 천안시 동남구 풍세면 용정리 330-1,36.73933367,127.1138503,2022-07-05
26,(통로)동남43호(통로8),충청남도 천안시 동남구 풍세면 보성리 333-2,36.73630809,127.1207678,2022-07-05
27,(통로)동남43호(통로9),충청남도 천안시 동남구 풍세면 보성리 35-6,36.733601,127.1286256,2022-07-05
28,(통로)동남Z01-가구단지앞,충청남도 천안시 동남구 목천읍 응원리 117-2,36.7679395,127.1856152,2022-07-05
29,(통로)동남Z02-겟세마이기도원,충청남도 천안시 동남구 목천읍 응원리 259-21,36.76514604,127.1782472,2022-07-05
30,(통로)동남Z03-미죽터널,충청남도 천안시 동남구 풍세면 미죽리 277-2,36.73977643,127.1598208,2022-07-05
31,(통로)동남Z04-가송터널,충청남도 천안시 동남구 풍세면 가송리 135-6,36.72756123,127.1480075,2022-07-05
32,(통로)동남Z05-미죽터널2,충청남도 천안시 동남구 풍세면 미죽리 301-3,36.73577557,127.156339,2022-07-05
33,(통로)동남Z06-풍세통로박스,충청남도 천안시 동남구 풍세면 풍서리 130-8,36.72043758,127.1349616,2022-07-05
34,(통로)동남Z07-풍세통로2,충청남도 천안시 동남구 풍세면 풍서리 127-5,36.71966296,127.1326516,2022-07-05
35,(통로)동남Z08-풍세4리통로박스안,충청남도 천안시 동남구 풍세면 풍서리 400-2,36.71768951,127.1264332,2022-07-05
36,(통로)동남Z09-두남리터널,충청남도 천안시 동남구 풍세면 두남리 93,36.73827701,127.1431465,2022-07-05
37,(통로)동남Z10-의료원앞터널,충청남도 천안시 동남구 삼룡동 51,36.77658737,127.1771311,2022-07-05
38,(통로)동남Z11-유량동입구터널,충청남도 천안시 동남구 원성동 442-17,36.81012476,127.1644187,2022-07-05
39,(통로)동남Z12-방죽다리,충청남도 천안시 동남구 신부동 132-20,36.82489431,127.1591765,2022-07-05
40,(통로)동남Z13-신부방죽다리,충청남도 천안시 동남구 신부동 313-15,36.82464873,127.1575115,2022-07-05
41,(통로)동남Z15-삼룡동굴다리,충청남도 천안시 동남구 삼룡동 165-1,36.78458214,127.1743291,2022-07-05
42,(통로)동남Z16-소사리방범등,세종특별자치시 소정면 대곡리 352-2,36.72922534,127.1656454,2022-07-05
43,(통로)동남Z17-화성리터널,충청남도 천안시 동남구 성남면 화성리 112-6,36.75222395,127.2663165,2022-07-05
44,(통로)동남Z18ㅡ남부오거리다리밑,충청남도 천안시 동남구 구성동 382-74,36.7980924,127.1545411,2022-07-05
45,(통로)동남Z30-풍세산단진입로,충청남도 천안시 동남구 풍세면 보성리 680-25,36.72718438,127.1206107,2022-07-05
46,(통로)동남Z31-풍세산단진입터널,충청남도 천안시 동남구 풍세면 보성리 422-1,36.72697166,127.1237365,2022-07-05
47,(통로)역전지하상가,충청남도 천안시 동남구 문화동 61-3,36.80843167,127.1500316,2022-07-05
48,(함철거)동남D-14(남부대로340),충청남도 천안시 동남구 청당동 152-6,36.78156185,127.154253,2022-07-05
49,(함철거)동남D-15(남부대로341),충청남도 천안시 동남구 청당동 975,36.78177356,127.1542898,2022-07-05
50,구도교차로1,충청남도 천안시 동남구 동면 구도리 455-3,36.76662369,127.3341953,2022-07-05
51,구도교차로2,충청남도 천안시 동남구 동면 구도리 455-3,36.76593751,127.3346712,2022-07-05
52,동남 LP-GS1(풍서리156-3),충청남도 천안시 동남구 풍세면 풍서리 156-3,36.71878956,127.1379921,2022-07-05
53,동남 LP-HS1(세종로 4186),충청남도 천안시 동남구 광덕면 행정리 14-14,36.69056927,127.1573719,2022-07-05
54,동남 LP-HS2(세종로4185),충청남도 천안시 동남구 광덕면 행정리 212-15,36.69038026,127.1572037,2022-07-05
55,동남 LP-PS1(풍세교차1),충청남도 천안시 동남구 풍세면 보성리 258-1,36.73138916,127.1323499,2022-07-05
56,동남 LP-PS2(풍세교차2),충청남도 천안시 동남구 풍세면 보성리 244,36.73230028,127.131467,2022-07-05
57,동남 LP-PS3(풍세교차3),충청남도 천안시 동남구 풍세면 보성리 258-1,36.73143342,127.1330721,2022-07-05
58,동남 LP-PS4(풍세교차4),충청남도 천안시 동남구 풍세면 보성리 167-1,36.73260624,127.1318482,2022-07-05
59,동남 LP-PS5(풍세교차5),충청남도 천안시 동남구 풍세면 보성리 310-2,36.73548809,127.1229497,2022-07-05
60,동남 LP-PS6(풍세교차6),충청남도 천안시 동남구 풍세면 보성리 308,36.73594535,127.1230092,2022-07-05
61,동남 LP-STC1(삼태리74-3),충청남도 천안시 동남구 풍세면 삼태리 74-13,36.75409408,127.0986478,2022-07-05
62,동남 LP-YJ1(용정교차1),충청남도 천안시 동남구 풍세면 용정리 산22-204,36.73788431,127.1170055,2022-07-05
63,동남 LP-YJ2(용정교차2),충청남도 천안시 동남구 풍세면 용정리 산 22-203,36.7380756,127.1172073,2022-07-05
64,동남 LP-YJ3(용정교차3),충청남도 천안시 동남구 풍세면 용정리 산55-1,36.74064243,127.1115906,2022-07-05
65,동남 LP-YJ4(용정교차4)-사고분,충청남도 천안시 동남구 풍세면 용정리 산60-22,36.74185221,127.1091346,2022-07-05
66,동남 LP-YJ5(용정교차5),충청남도 천안시 동남구 풍세면 용정리 466-6,36.74206375,127.1093869,2022-07-05
67,동남-R30다가한화꿈에그린옆,충청남도 천안시 동남구 다가동 444-3,36.79708268,127.1384714,2022-07-05
68,동남-국도21호 연결도로,충청남도 천안시 동남구 북면 연춘리 131-11,36.76750549,127.2514252,2022-07-05
69,동남-동아태조(터미널9길 13),충청남도 천안시 동남구 신부동 541,36.82332325,127.1529806,2022-07-05
70,동남-만남교,충청남도 천안시 동남구 신부동 401-221,36.82146277,127.1562104,2022-07-05
71,동남-신도1차,충청남도 천안시 동남구 목천읍 신계리 106-8,36.77404536,127.2158457,2022-07-05
72,동남-신도2차,충청남도 천안시 동남구 목천읍 신계리 172-10,36.77630367,127.211517,2022-07-05
73,동남-신호등,충청남도 천안시 동남구 원성동 583-8,36.79888341,127.1594449,2022-07-05
74,동남-일봉산해피트리1,충청남도 천안시 동남구 다가동 358-23,36.79783779,127.1400274,2022-07-05
75,동남-일봉산해피트리2,충청남도 천안시 동남구 다가동 358-20,36.79702532,127.1412669,2022-07-05
76,동남-행정타운 두산APT-01,충청남도 천안시 동남구 청당동 49-13,36.77831365,127.1591446,2022-07-05
77,동남-행정타운 두산APT-02,충청남도 천안시 동남구 청당동 40-7,36.78024963,127.1601988,2022-07-05
78,동남-행정타운 두산APT-03,충청남도 천안시 동남구 청당동 23-55,36.78109416,127.1603966,2022-07-05
79,동남001-LP1관광단지진입로,충청남도 천안시 동남구 목천읍 운전리 330-1,36.76655344,127.2309899,2022-07-05
80,동남002-LP2관광단지진입로,충청남도 천안시 동남구 목천읍 운전리 330-1,36.76649218,127.2312137,2022-07-05
81,동남003-LP3관광단지,충청남도 천안시 동남구 목천읍 운전리 589,36.76052866,127.2279088,2022-07-05
82,동남004-LP4관광단지,충청남도 천안시 동남구 목천읍 운전리 589,36.76022984,127.2274879,2022-07-05
83,동남005-LP5관광단지로타리,충청남도 천안시 동남구 성남면 용원리 666,36.7584328,127.225256,2022-07-05
84,동남006-LP6관광단지,충청남도 천안시 동남구 성남면 용원리 666,36.75865726,127.2251875,2022-07-05
85,동남007-LP7관광단지에술,충청남도 천안시 동남구 성남면 용원리 674,36.7551242,127.2236765,2022-07-05
86,동남008-LP8틴틴주차장,충청남도 천안시 동남구 성남면 용원리 674,36.75531049,127.2235287,2022-07-05
87,동남009-LP-9관광단지,충청남도 천안시 동남구 목천읍 운전리 587,36.76065082,127.2264588,2022-07-05
88,동남010-LP10관광단지후미,충청남도 천안시 동남구 성남면 용원리 746-1,36.75572483,127.2224184,2022-07-05
89,동남011-LP-11관광단지,충청남도 천안시 동남구 성남면 용원리 749,36.7584439,127.2228143,2022-07-05
90,동남012-LP12관광단지,충청남도 천안시 동남구 성남면 용원리 751,36.75544406,127.2302735,2022-07-05
