"시도명",시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,신호기설치방식,도로형태,주도로여부,신호등관리번호,신호등구분,신호등색종류,신호등화방식,신호등화순서,신호등화시간,광원종류,신호제어방식,신호시간결정방식,점멸등운영여부,점멸등운영시작시각,점멸등운영종료시각,보행자작동신호기유무,잔여시간표시기유무,시각장애인용음향신호기유무,도로안내표지일련번호,관리기관명,관리기관전화번호,데이터기준일자
"충청남도",천안시,지방도,대로1-1,천안대로,03,충청남도 천안시 서북구 천안대로 1368,충청남도 천안시 서북구 신당동 476-4,36.8630263,127.1506647,03,02,Y,1,1,04,04,양직+좌+좌+좌,72+20+25+43,02,03,01,N,00:00,00:00,N,Y,N,,충청남도 천안시청,041-521-2948,2022-06-27
"충청남도",천안시,지방도,대로1-1,천안대로,03,충청남도 천안시 서북구 천안대로 1301,충청남도 천안시 서북구 신당동 422-9,36.8569328,127.1534505,03,02,Y,2,1,04,03,양직+직좌+좌,105+20+35,02,03,01,Y,00:00,05:00,N,Y,N,,충청남도 천안시청,041-521-2948,2022-06-27
"충청남도",천안시,지방도,대로1-1,천안대로,03,충청남도 천안시 서북구 원너멋길 41,충청남도 천안시 서북구 신당동 592,36.853809,127.1512433,03,02,Y,3,1,04,05,양직+직좌+직좌+직좌+직좌,90+15+20+20+15,02,03,01,N,00:00,00:00,N,N,N,,충청남도 천안시청,041-521-2948,2022-06-27
"충청남도",천안시,지방도,대로1-1,천안대로,03,충청남도 천안시 서북구 번영로 728,충청남도 천안시 서북구 업성동 171-1,36.8572269,127.1384494,03,02,Y,4,1,04,04,양직+직좌+직좌+직좌,92+32+18+18,02,03,01,Y,00:00,05:00,N,N,N,,충청남도 천안시청,041-521-2948,2022-06-27
"충청남도",천안시,지방도,광로3-3,번영로,03,충청남도 천안시 서북구 번영로 705,충청남도 천안시 서북구 업성동 174-1,36.8576917,127.1372981,03,02,Y,5,1,04,04,양직+양좌+직좌+직좌,67+20+25+48,02,03,01,Y,01:00,05:00,N,Y,N,,충청남도 천안시청,041-521-2948,2022-06-27
"충청남도",천안시,지방도,광로3-3,번영로,03,,충청남도 천안시 서북구 성성동 299,36.8519565,127.1255537,03,02,Y,6,1,04,03,양직+직좌+좌,89+29+42,02,03,01,Y,01:00,05:00,N,Y,Y,,충청남도 천안시청,041-521-2948,2022-06-27
"충청남도",천안시,지방도,광로3-3,번영로,03,충청남도 천안시 서북구 공단로 98,충청남도 천안시 서북구 성성동 364-3,36.845691,127.1227636,03,02,Y,7,1,04,05,양직+직좌+직좌+직좌+직좌,51+20+39+30+20,02,03,01,Y,01:00,05:00,N,Y,Y,,충청남도 천안시청,041-521-2948,2022-06-27
"충청남도",천안시,지방도,광로3-3,번영로,03,,충청남도 천안시 서북구 성성동 364-3,36.8441611,127.1221858,03,02,Y,8,1,04,03,양직+좌+직좌,75+43+42,02,03,01,Y,01:00,05:00,N,Y,Y,,충청남도 천안시청,041-521-2948,2022-06-27
"충청남도",천안시,지방도,대로3-2,충절로,03,충청남도 천안시 동남구 병천면 충절로 1872,충청남도 천안시 동남구 병천면 탑원리 146-3,36.7639098,127.3133594,03,02,Y,9,1,03,02,양직+좌,86+34,02,03,01,Y,00:00,06:00,Y,Y,N,,충청남도 천안시청,041-521-2948,2022-06-27
"충청남도",천안시,지방도,대로3-8,서부대로,03,충청남도 천안시 서북구 부성7길 3,충청남도 천안시 서북구 두정동 1063,36.8371458,127.1341375,03,02,Y,10,1,04,03,양직+직좌+직좌,99+30+31,02,03,01,Y,00:00,06:00,N,Y,N,,충청남도 천안시청,041-521-2948,2022-06-27
"충청남도",천안시,지방도,대로3-8,서부대로,03,충청남도 천안시 서북구 부성6길 11,충청남도 천안시 서북구 두정동 1000,36.8363175,127.1347377,03,02,Y,11,1,04,03,양직+직좌+직좌,99+30+31,02,03,01,Y,00:00,06:00,N,Y,N,,충청남도 천안시청,041-521-2948,2022-06-27
"충청남도",천안시,지방도,대로3-8,서부대로,03,충청남도 천안시 서북구 서부대로 746,충청남도 천안시 서북구 두정동 901,36.8334904,127.1338513,03,02,Y,12,1,04,04,양직+양좌+양직+양좌,50+30+50+30,02,03,01,Y,02:00,05:00,N,Y,Y,,충청남도 천안시청,041-521-2948,2022-06-27
"충청남도",천안시,지방도,대로3-8,서부대로,03,충청남도 천안시 서북구 오성로 55,충청남도 천안시 서북구 두정동 803,36.8305287,127.133526,03,02,Y,13,1,04,04,양직+양좌+직좌+직좌,76+20+32+32,02,03,01,Y,02:00,05:00,N,Y,N,,충청남도 천안시청,041-521-2948,2022-06-27
"충청남도",천안시,지방도,대로3-8,서부대로,03,충청남도 천안시 서북구 성정중7길 3,충청남도 천안시 서북구 성정동 1124,36.8287979,127.1335735,03,02,Y,14,1,04,04,양직+양좌+직좌+직좌,67+28+35+30,02,03,01,Y,02:00,05:00,N,Y,N,,충청남도 천안시청,041-521-2948,2022-06-27
"충청남도",천안시,지방도,중로1-1,노태산로,03,충청남도 천안시 서북구 두정로 98,충청남도 천안시 서북구 두정동 534,36.8337172,127.1277681,03,02,Y,15,1,04,04,직좌+직좌+직좌+직좌,30+27+31+32,02,03,01,Y,00:00,06:00,N,Y,Y,,충청남도 천안시청,041-521-2948,2022-06-27
"충청남도",천안시,지방도,중로1-1,노태산로,03,충청남도 천안시 서북구 노태산로 62,충청남도 천안시 서북구 두정동 595,36.8302352,127.1276496,03,02,Y,16,1,04,04,직좌+직좌+직좌+직좌,35+35+35+35,02,03,01,Y,00:00,06:00,N,Y,Y,,충청남도 천안시청,041-521-2948,2022-06-27
"충청남도",천안시,지방도,중로1-1,노태산로,03,충청남도 천안시 서북구 노태산로 50,충청남도 천안시 서북구 두정동 597,36.8292092,127.1275883,03,02,Y,17,1,03,03,양직+양직+좌,69+40+31,02,03,01,Y,00:00,06:00,N,Y,N,,충청남도 천안시청,041-521-2948,2022-06-27
"충청남도",천안시,지방도,중로1-1,노태산로,03,,충청남도 천안시 서북구 두정동 607,36.8263761,127.127486,03,02,Y,18,1,04,04,직좌+직좌+직좌+직좌,40+39+31+30,02,03,01,Y,00:00,06:00,N,Y,Y,,충청남도 천안시청,041-521-2948,2022-06-27
"충청남도",천안시,지방도,대로1-5,쌍용대로,03,충청남도 천안시 서북구 부성8길 29,충청남도 천안시 서북구 두정동 1078,36.8382826,127.1371674,03,02,Y,19,1,04,04,직좌+직좌+직좌+직좌,36+30+56+38,02,03,01,Y,02:00,04:00,N,Y,Y,,충청남도 천안시청,041-521-2948,2022-06-27
"충청남도",천안시,지방도,대로1-5,쌍용대로,03,충청남도 천안시 서북구 부성6길 37,충청남도 천안시 서북구 두정동 1032,36.8357702,127.1377966,03,02,Y,20,1,04,04,직좌+직좌+직좌+직좌,50+50+35+25,02,03,01,Y,00:00,06:00,N,Y,N,,충청남도 천안시청,041-521-2948,2022-06-27
"충청남도",천안시,지방도,대로1-5,쌍용대로,03,충청남도 천안시 서북구 두정중7길 2-3,충청남도 천안시 서북구 두정동 1266,36.833935,127.1384853,03,02,Y,21,1,04,04,양직+양좌+직좌+직좌,45+25+45+45,02,03,01,Y,02:00,05:00,N,Y,Y,,충청남도 천안시청,041-521-2948,2022-06-27
"충청남도",천안시,지방도,대로1-5,쌍용대로,03,충청남도 천안시 서북구 오성로 89,충청남도 천안시 서북구 두정동 839,36.8305283,127.1374485,03,02,Y,22,1,04,04,직좌+양직+양좌+직좌,55+27+20+58,02,03,01,Y,02:00,05:00,N,Y,N,,충청남도 천안시청,041-521-2948,2022-06-27
"충청남도",천안시,지방도,대로1-5,쌍용대로,03,충청남도 천안시 서북구 성정중4길 39-15,충청남도 천안시 서북구 성정동 1174-2,36.828197,127.1371922,03,01,Y,23,1,03,02,양직+보행,125+35,02,03,01,Y,01:00,06:00,N,Y,N,,충청남도 천안시청,041-521-2948,2022-06-27
"충청남도",천안시,지방도,대로3-7,봉정로,03,충청남도 천안시 서북구 두정역서4길 3,충청남도 천안시 서북구 두정동 1608-3,36.8370035,127.1459826,03,02,Y,24,1,04,04,양직+양직+직좌+직좌,58+30+35+37,02,03,01,Y,00:00,06:00,N,Y,N,,충청남도 천안시청,041-521-2948,2022-06-27
"충청남도",천안시,지방도,대로3-7,봉정로,03,충청남도 천안시 서북구 봉정로 380,충청남도 천안시 서북구 두정동 1621,36.8356884,127.1458156,03,02,Y,25,1,04,04,양직+양좌+직좌+직좌,70+21+33+36,02,03,01,N,00:00,00:00,N,Y,N,,충청남도 천안시청,041-521-2948,2022-06-27
"충청남도",천안시,지방도,대로3-7,봉정로,03,충청남도 천안시 서북구 봉정로 343,충청남도 천안시 서북구 두정동 1503,36.8327956,127.1450507,03,02,Y,26,1,04,04,양직+양좌+양직+양좌,55+35+34+36,02,03,01,Y,01:00,05:00,N,Y,Y,,충청남도 천안시청,041-521-2948,2022-06-27
"충청남도",천안시,지방도,대로3-9,두정로,03,충청남도 천안시 서북구 두정로 220,충청남도 천안시 서북구 두정동 1322,36.8332344,127.1414147,03,02,Y,27,1,04,04,양직+양좌+직좌+직좌,76+20+32+32,02,03,01,Y,01:00,05:00,N,Y,Y,,충청남도 천안시청,041-521-2948,2022-06-27
"충청남도",천안시,지방도,대로3-9,두정로,03,,충청남도 천안시 서북구 두정동 74-16,36.8329867,127.1474477,03,01,Y,28,1,03,02,양직+보행,128+32,02,03,01,Y,02:00,04:00,N,Y,Y,,충청남도 천안시청,041-521-2948,2022-06-27
"충청남도",천안시,지방도,대로1-1,천안대로,03,충청남도 천안시 서북구 두정공단1길 163,충청남도 천안시 서북구 두정동 393-1,36.8384736,127.1518198,03,02,Y,29,1,04,04,직좌+직좌+직좌+직좌,40+50+50+20,02,03,01,Y,01:00,05:00,N,N,N,,충청남도 천안시청,041-521-2948,2022-06-27
"충청남도",천안시,지방도,대로1-1,천안대로,03,충청남도 천안시 서북구 두정공단2길 9,충청남도 천안시 서북구 두정동 396-1,36.8350692,127.1524739,03,02,Y,30,1,04,03,양직+좌+직좌,100+41+19,02,03,01,Y,01:00,05:00,N,Y,N,,충청남도 천안시청,041-521-2948,2022-06-27
"충청남도",천안시,지방도,대로1-1,천안대로,03,,충청남도 천안시 서북구 두정동 98-14,36.8320014,127.1520661,03,02,Y,31,1,04,05,양직+직좌+직좌+직좌+직좌,54+20+20+36+30,02,03,01,N,00:00,00:00,N,Y,Y,,충청남도 천안시청,041-521-2948,2022-06-27
"충청남도",천안시,지방도,대로1-1,천안대로,03,충청남도 천안시 동남구 단대로 11,충청남도 천안시 동남구 신부동 308-12,36.8251428,127.1535923,03,02,Y,32,1,04,05,직좌+직좌+직좌+직좌+직좌,45+25+30+37+43,02,03,01,N,00:00,00:00,N,Y,N,,충청남도 천안시청,041-521-2948,2022-06-27
"충청남도",천안시,지방도,중로1-10,중앙로,03,충청남도 천안시 동남구 중앙로 279,충청남도 천안시 동남구 신부동 319-27,36.8231066,127.1523907,03,02,Y,33,1,04,04,양직+직좌+직좌+직좌,100+10+35+35,02,03,01,Y,00:00,06:00,N,Y,N,,충청남도 천안시청,041-521-2948,2022-06-27
"충청남도",천안시,지방도,대로1-6,음봉로,03,충청남도 천안시 서북구 백석공단1로 9,충청남도 천안시 서북구 백석동 723,36.8234571,127.1086271,03,02,Y,34,1,04,03,양직+직좌+좌,140+25+35,02,03,01,Y,00:00,06:00,N,Y,Y,,충청남도 천안시청,041-521-2948,2022-06-27
"충청남도",천안시,지방도,광로3-3,번영로,03,,충청남도 천안시 서북구 백석동 690-29,36.8227588,127.1120114,03,02,Y,35,1,04,04,직좌+직좌+직좌+직좌,42+62+43+53,02,03,01,N,00:00,00:00,N,Y,Y,,충청남도 천안시청,041-521-2948,2022-06-27
